usuario,id_ruta,tipo_error,link
GRPIAA3,4218929,3,www.openstreetmap.org/relation/4218929#map=19/-12.0467144/-77.0430685
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0605405/-77.1318723
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0615975/-77.1470154
GRPIAA3,4218929,3,www.openstreetmap.org/relation/4218929#map=19/-12.0617689/-77.1469987
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0725404/-77.1648045
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0681494/-77.1578943
GRPIAA3,4218929,3,www.openstreetmap.org/relation/4218929#map=19/-12.0466122/-77.0431494
GRPIAA3,4218929,1,www.openstreetmap.org/relation/4218929#map=19/-12.0732416/-77.1642183
GRPIAA3,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0607323/-77.1318339
GRPIAA3,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0460958/-77.0430896
GRPIAA3,4218937,3,www.openstreetmap.org/relation/4218937#map=19/-12.0467144/-77.0430685
GRPIAA3,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0605405/-77.1318723
GRPIAA3,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0615975/-77.1470154
GRPIAA3,4218937,3,www.openstreetmap.org/relation/4218937#map=19/-12.0617689/-77.1469987
GRPIAA3,4218937,3,www.openstreetmap.org/relation/4218937#map=19/-12.0466122/-77.0431494
GRPIAA3,4218937,1,www.openstreetmap.org/relation/4218937#map=19/-12.0732416/-77.1642183
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0477498/-77.1184438
GRPIAA3,4218948,3,www.openstreetmap.org/relation/4218948#map=19/-12.0557637/-77.0575334
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0570764/-77.0522429
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0501907/-77.1182439
GRPIAA3,4218948,3,www.openstreetmap.org/relation/4218948#map=19/-12.0507247/-77.1263162
GRPIAA3,4218948,3,www.openstreetmap.org/relation/4218948#map=19/-12.0557977/-77.0577726
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0543552/-77.0406009
GRPIAA3,4218948,5,www.openstreetmap.org/relation/4218948#map=19/-12.0501023/-77.1182465
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0561917/-77.0417773
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0570018/-77.0521782
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0657274/-77.1195709
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0655831/-77.1197589
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0508642/-77.1263345
GRPIAA3,4218948,1,www.openstreetmap.org/relation/4218948#map=19/-12.0562031/-77.0419621
GRPIAA3,4218959,3,www.openstreetmap.org/relation/4218959#map=19/-12.0557637/-77.0575334
GRPIAA3,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0570764/-77.0522429
GRPIAA3,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0505253/-77.1344028
GRPIAA3,4218959,3,www.openstreetmap.org/relation/4218959#map=19/-12.0557977/-77.0577726
GRPIAA3,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0543552/-77.0406009
GRPIAA3,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0561917/-77.0417773
GRPIAA3,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0570018/-77.0521782
GRPIAA3,4218959,1,www.openstreetmap.org/relation/4218959#map=19/-12.0562031/-77.0419621
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.049205/-77.1356209
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0653956/-77.118737
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.067934/-77.134257
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0682454/-77.1342965
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0678922/-77.1329328
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0437076/-77.0434665
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0505253/-77.1344028
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0491384/-77.0537348
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0489482/-77.0452684
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0503019/-77.1344453
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0681782/-77.1330777
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0657274/-77.1195709
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0658358/-77.1192574
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0655831/-77.1197589
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.0631907/-77.142733
GRPIAA3,4218962,1,www.openstreetmap.org/relation/4218962#map=19/-12.063565/-77.1425217
GRPIAA3,4220287,6,www.openstreetmap.org/relation/4220287#map=19/-12.0606731/-77.0418616
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0644674/-77.0392836
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0645186/-77.0393581
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.064647/-77.0375675
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0606567/-77.041203
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0607103/-77.0417995
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0557637/-77.0575334
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0600007/-77.0420576
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0601319/-77.0421064
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0607307/-77.0413332
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0606399/-77.0419165
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0505253/-77.1344028
GRPIAA3,4220287,3,www.openstreetmap.org/relation/4220287#map=19/-12.0557977/-77.0577726
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0647902/-77.0388549
GRPIAA3,4220287,1,www.openstreetmap.org/relation/4220287#map=19/-12.0640524/-77.0363826
GRPIAA3,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0415841/-76.9707945
GRPIAA3,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0470356/-77.1094537
GRPIAA3,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0493223/-77.109248
GRPIAA3,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0327089/-76.9645519
GRPIAA3,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.055078/-76.9647961
GRPIAA3,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0551266/-76.9646574
GRPIAA3,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0494128/-77.1092344
GRPIAA3,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.040639/-76.971204
GRPIAA3,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0435264/-76.9700563
GRPIAA3,4220382,4,www.openstreetmap.org/relation/4220382#map=19/-12.0546179/-76.9646065
GRPIAA3,4220382,3,www.openstreetmap.org/relation/4220382#map=19/-12.0547907/-76.9645725
GRPIAA3,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.0434722/-76.9702982
GRPIAA3,4220382,1,www.openstreetmap.org/relation/4220382#map=19/-12.054681/-76.9647508
GRPIAA3,4220430,1,www.openstreetmap.org/relation/4220430#map=19/-11.8745372/-77.1086836
GRPIAA3,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-11.8746482/-77.1087076
GRPIAA3,4220430,3,www.openstreetmap.org/relation/4220430#map=19/-12.0400547/-77.0991591
GRPIAA3,4220430,1,www.openstreetmap.org/relation/4220430#map=19/-11.8857941/-77.0966382
