ID|NAME|TIPO|geom|idzona
4802|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.141179 -12.063025,-77.138182 -12.062231)|0
4806|Lord Cochrane|5|SRID=4326;LINESTRING (-77.138182 -12.062231,-77.138059 -12.063552)|0
4807|Apurimac|2|SRID=4326;LINESTRING (-77.138059 -12.063552,-77.141136 -12.064045)|0
4783|Alberto Secada|5|SRID=4326;LINESTRING (-77.142686 -12.063215,-77.141179 -12.063025)|0
4805|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.141179 -12.063025,-77.142485 -12.063514)|0
4808|Apurimac|2|SRID=4326;LINESTRING (-77.141136 -12.064045,-77.142349 -12.06423)|0
4787|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.14394 -12.063931,-77.14264 -12.063556)|0
4809|Marco Polo|5|SRID=4326;LINESTRING (-77.142485 -12.063514,-77.142349 -12.06423)|0
4811|Apurimac|2|SRID=4326;LINESTRING (-77.142349 -12.06423,-77.143857 -12.064446)|0
4812|Washington|5|SRID=4326;LINESTRING (-77.143857 -12.064446,-77.14394 -12.063931)|0
4784|Marco Polo|5|SRID=4326;LINESTRING (-77.142686 -12.063215,-77.14264 -12.063556)|0
4810|Almirante Miguel Grau|1|SRID=4326;LINESTRING (-77.142485 -12.063514,-77.14264 -12.063556)|0
